state,access_to_food_avg_sentiment,access_to_health_services_avg_sentiment,access_to_social_security_avg_sentiment,educational_lag_avg_sentiment,housing_avg_sentiment,income_avg_sentiment,other_avg_sentiment,social_cohesion_avg_sentiment,access_to_food_pct_yt,access_to_health_services_pct_yt,access_to_social_security_pct_yt,educational_lag_pct_yt,housing_pct_yt,income_pct_yt,other_pct_yt,social_cohesion_pct_yt
Estado de México,-0.5202702702702703,-0.5439814814814815,-0.4855421686746988,-0.1941391941391941,-0.5543792107795957,-0.5607893061744113,-0.6681957186544343,-0.268543956043956,7.966030739788291,14.209676454757492,2.4819089767358413,13.061419771544765,6.213743197177203,37.5814843609832,9.778123317983374,8.707613181029842
Guanajuato,-0.3997020854021847,-0.4540682414698163,-0.4617737003058104,-0.2502102607232969,-0.6157587548638133,-0.511257360581919,-0.6122964626614261,-0.2316498316498316,6.988687625789438,7.932542161149282,2.2694149489902142,16.50357415504199,3.567214935110001,40.07217711152752,12.360330349087375,10.306058713304186
Guerrero,-0.3463983050847458,-0.4426369863013699,-0.3718354430379746,-0.1378378378378378,-0.5107238605898123,-0.3884057971014493,-0.5436308926780341,-0.1991473812423873,6.48975663412622,8.029698886291763,4.344837068609928,17.805582290664102,5.128557679087034,33.20500481231954,13.708235941152209,11.288326687749208
Hidalgo,-0.3498817966903073,-0.4025229357798165,-0.5408921933085502,-0.068,-0.3804945054945055,-0.3990159325210871,-0.6061320754716981,0.0378250591016548,7.024244437064098,7.240119561607439,4.466954500166058,18.68150116240452,6.04450348721355,35.43673198272999,14.08170043175025,7.024244437064098
Jalisco,-0.5124434389140271,-0.3647469458987784,-0.4451219512195122,-0.263716814159292,-0.6644736842105263,-0.4403433476394849,-0.6822272215973003,-0.2791461412151067,6.944226237234878,9.002356637863315,2.576590730557738,17.75333857030636,3.582089552238806,36.6064414768264,13.96700706991359,9.567949725058916
Michoacán,-0.3971044467425025,-0.4908088235294117,-0.3853989813242784,-0.2097167225098994,-0.5880733944954128,-0.4097348714835053,-0.6260829913360693,-0.1720725673446949,6.26904376012966,7.053484602917343,3.818476499189627,21.28363047001621,3.53322528363047,32.032414910858996,14.217179902755268,11.79254457050243
Morelos,-0.5205655526992288,-0.4974358974358974,-0.2650602409638554,-0.2453748782862707,-0.430379746835443,-0.4263249854397204,-0.6858585858585858,-0.1639908256880733,7.828536928959549,11.772992553833769,1.6703562084926542,20.668142483397062,4.769571342322399,34.55423626484202,9.961762930167035,8.77440128798551
Nayarit,-0.4262948207171315,-0.375,-0.489010989010989,-0.004344677769732,-0.5451388888888888,-0.3802366485449312,-0.5669099756690997,0.0753086419753086,6.13466943663693,8.456556275204692,3.3361847733105217,16.876451179274106,7.038983257973848,38.213369180007334,10.045215691066844,9.898570206525724
Nuevo León,-0.4953488372093023,-0.4904632152588556,-0.3008474576271186,-0.1414994720168954,-0.5866141732283464,-0.3717712177121771,-0.5901060070671378,-0.1117824773413897,8.377167348529126,14.299629846093904,2.2988505747126435,18.44924995129554,7.422559906487434,31.67738164815897,11.026690044808104,6.44847067991428
Oaxaca,-0.4160839160839161,-0.4245182012847965,-0.4026845637583892,-0.0895631067961165,-0.542741935483871,-0.3792667509481668,-0.5982844889206577,0.0612582781456953,9.84678946462386,8.039249440523326,2.564985367533138,17.731106903081425,5.336546737820623,34.04200378722672,12.041659493888792,10.397658805302118
Puebla,-0.3460038986354776,-0.4372937293729373,-0.4617834394904458,-0.1394335511982571,-0.4436781609195402,-0.4305511811023622,-0.644131455399061,-0.1764436296975252,5.49368173056329,9.734418505033196,3.362604412079674,19.6615977725423,4.658385093167702,34.000856714499896,11.405011779824374,11.683443992289568
Querétaro,-0.3886693017127799,-0.4814606741573033,-0.5016025641025641,-0.1316402609506057,-0.4049904030710173,-0.4181045925139368,-0.6295253419147224,-0.0598060344827586,7.183418512208972,8.42324436872989,2.9528676888131744,20.310429680106,4.930910467537384,35.65209161461291,11.764149157675565,8.78288851031611
Quintana Roo,-0.2652582159624413,-0.2995951417004048,-0.2037037037037037,0.1380952380952381,-0.5267857142857143,-0.1131025957972805,-0.5036496350364964,0.1653944020356234,8.086560364464694,9.377372817008352,2.050113895216401,15.945330296127564,8.5041761579347,30.713743356112374,10.402429764616553,14.92027334851936
San Luis Potosí,-0.4935344827586206,-0.5338491295938105,-0.2906976744186046,-0.2940026075619296,-0.4548192771084337,-0.4947698744769874,-0.6501340482573726,-0.4096209912536443,6.8295554901383575,15.219311156903151,1.2658227848101269,22.578745952310864,4.886664704150721,28.142478657639092,10.980276714748308,10.097144539299382
Sinaloa,-0.3402922755741127,-0.4353099730458221,-0.403921568627451,-0.0938144329896907,-0.4659498207885305,-0.4195780399274047,-0.5760479041916168,-0.0324267782426778,8.273598756369289,9.612229035322567,2.2022627169876503,16.754469297866827,2.4095345021158994,38.06891786855514,14.422661715174025,8.2563261076086
Sonora,-0.216824644549763,-0.3474747474747475,-0.3888888888888889,-0.005878284923928,-0.4522900763358778,-0.2010150044130626,-0.3164251207729469,0.037984496124031,6.4133738601823715,7.522796352583587,3.2826747720364744,21.975683890577507,3.98176291793313,34.43768996960486,12.583586626139818,9.80243161094225
Tabasco,-0.4390243902439024,-0.4174641148325358,-0.3933823529411764,-0.0270457697642163,-0.5793650793650794,-0.3674562887760857,-0.5853932584269663,-0.0027624309392265,8.15536013400335,8.752093802345058,2.8475711892797317,15.096314907872696,9.233668341708542,37.12311557788945,9.317420435510888,9.474455611390283
Tamaulipas,-0.3923611111111111,-0.4439045936395759,-0.1673728813559322,-0.1536775450560155,-0.54047976011994,-0.389875,-0.5853658536585366,-0.026032315978456,7.065172949546161,9.256684929266498,3.859677815029847,16.78796303867855,5.4542480987815845,32.709134025676676,15.757625316869737,9.109493826150953
Tlaxcala,-0.3173277661795407,-0.4128943758573388,-0.2830882352941176,-0.0481171548117154,-0.6125730994152047,-0.3492191707054389,-0.6686666666666666,-0.0631349782293178,8.066689120916132,12.276860895924552,2.2903334456045807,16.0996968676322,5.759514988211519,31.27315594476255,12.63051532502526,11.603233411923206
Veracruz,-0.4195121951219512,-0.4175424413904608,-0.5544662309368191,-0.0834907442387608,-0.5292682926829269,-0.4324174810990226,-0.6308868501529052,-0.0779127948534667,7.098337950138505,8.566481994459833,3.1786703601108033,18.33102493074792,4.259002770083103,37.55540166204986,11.322714681440443,9.688365650969528
Yucatán,-0.2344497607655502,-0.2810457516339869,-0.1224489795918367,0.2039627039627039,-0.3287671232876712,-0.1943942133815551,-0.3795620437956204,0.429718875502008,9.789227166276348,7.166276346604215,2.295081967213114,20.09367681498829,10.257611241217798,25.901639344262296,12.833723653395785,11.662763466042154
Zacatecas,-0.3005822416302766,-0.4375,-0.3130990415335463,-0.1093117408906882,-0.5083135391923991,-0.3924067262217551,-0.6107678729037952,-0.0764307228915662,6.413368185212845,9.783420463032114,2.9219566840926063,18.446601941747577,3.930171769977595,35.53024645257655,10.576923076923077,12.39731142643764
