state,FOVISSSTE,PromoDescuentos,agua potable,apoyo Infonavit,ayuda alimentaria,ayuda renta,banco de alimentos,becas,centro de salud,comedor comunitario,comida barata,conflictos,crisis,desempleo,discriminación,enfermedad,escuela secundaria,pensiones,pobreza,receta pobre,renta barata,seguro social,servicios en la vivienda,tianguis,tiendeo,violencia,vivienda del gobierno,Education_Dimension,Food_Dimension,Health_Dimension,Housing_Dimension,Income_Dimension,Social_Cohesion_Dimension,Social_Security_Dimension
MX-HID,14.42,2.0,4.83,0.17,0.0,0.0,0.0,20.17,2.5,0.08,0.0,5.25,5.75,2.67,6.08,12.33,2.33,2.08,3.08,0.0,0.0,15.92,0.0,3.75,0.0,9.42,0.0,11.25,1.94,7.42,6.47,3.83,6.92,9.0
MX-JAL,13.5,23.17,8.33,49.92,0.0,0.0,0.83,28.58,5.83,0.08,6.25,37.33,19.33,9.33,41.33,26.42,4.5,18.08,8.0,0.83,1.5,64.67,0.0,51.83,1.25,11.58,0.0,16.54,12.03,16.12,18.31,12.22,30.08,41.38
MX-DIF,20.17,48.17,3.58,35.17,0.0,0.33,0.83,34.67,13.0,1.5,13.08,35.83,22.25,17.17,46.17,33.67,12.17,14.42,8.92,0.0,1.67,67.58,4.42,69.67,3.17,18.42,10.75,23.42,22.74,23.34,10.87,16.11,33.47,41.0
MX-MIC,13.67,45.83,4.92,2.08,0.0,0.0,0.08,17.08,2.0,0.0,0.25,13.5,18.67,7.5,16.08,14.33,2.33,23.33,9.58,0.0,0.0,32.17,0.0,55.5,1.5,6.5,0.0,9.7,20.63,8.16,6.89,11.92,12.03,27.75
MX-MOR,28.5,25.83,20.0,38.83,0.0,0.0,0.25,17.17,3.08,0.0,0.0,25.75,9.75,4.08,32.58,15.5,2.58,10.58,5.33,0.0,0.0,61.75,0.0,33.58,0.58,8.83,0.0,9.88,15.06,9.29,29.11,6.39,22.39,36.16
MX-NAY,15.83,27.42,4.92,1.33,0.0,0.0,0.0,17.83,1.83,0.0,0.0,16.08,13.83,5.58,20.92,19.5,2.83,2.75,7.0,0.0,0.0,18.83,0.0,53.25,0.0,9.08,0.0,10.33,40.34,10.66,7.36,8.8,15.36,10.79
MX-NLE,10.42,62.08,7.67,11.17,0.0,0.0,0.42,30.25,7.5,0.0,1.92,37.83,16.33,12.0,38.33,36.0,4.67,11.5,8.08,0.0,0.0,78.58,0.0,31.25,8.83,14.25,0.0,17.46,20.9,21.75,9.75,12.14,30.14,45.04
MX-OAX,16.58,47.83,10.25,0.0,0.0,0.0,0.0,10.58,1.17,0.0,0.0,12.67,8.83,2.67,15.67,9.0,2.0,5.0,4.67,0.0,0.0,25.75,0.0,54.67,0.0,5.42,0.0,6.29,51.25,5.08,13.42,5.39,11.25,15.38
MX-PUE,19.83,13.58,14.33,43.42,0.0,0.0,1.0,16.92,1.42,0.0,5.25,36.25,18.83,6.83,43.17,10.83,2.08,3.42,8.83,0.0,0.0,28.0,0.0,20.5,0.33,8.0,0.67,9.5,8.13,6.12,19.56,11.5,29.14,15.71
MX-QUE,14.17,23.92,8.5,6.08,0.0,0.0,0.08,22.83,3.25,0.0,0.0,43.0,15.75,9.58,51.58,17.5,2.92,10.25,7.92,0.0,0.0,31.67,0.0,38.83,1.75,8.42,0.0,12.88,16.14,10.38,9.58,11.08,34.33,20.96
MX-ROO,5.0,9.58,1.42,0.5,0.0,0.0,0.0,10.92,1.0,0.0,0.0,3.5,14.0,5.75,4.25,7.33,1.33,3.25,6.17,0.0,0.0,26.83,0.0,13.42,0.0,4.0,0.0,6.12,11.5,4.16,2.31,8.64,3.92,15.04
MX-SLP,7.83,3.17,2.42,2.33,0.0,0.0,0.0,17.5,2.67,0.0,0.08,4.17,6.08,3.08,5.08,15.83,3.17,4.92,2.92,0.0,0.0,14.17,4.33,3.5,0.58,8.17,0.0,10.34,1.83,9.25,4.23,4.03,5.81,9.54
MX-SIN,17.75,8.75,6.92,36.33,0.0,0.0,0.17,19.92,2.08,0.0,0.0,38.42,16.5,6.75,37.5,16.42,1.92,5.67,9.08,0.0,0.0,50.58,0.0,14.42,0.17,6.67,5.67,10.92,5.88,9.25,16.67,10.78,27.53,28.12
MX-SON,34.75,12.42,9.5,9.0,0.0,0.0,0.42,32.5,2.0,0.0,0.0,23.67,19.17,11.33,23.67,15.75,3.42,5.75,8.75,0.0,0.42,45.42,0.0,44.33,1.33,6.67,0.0,17.96,14.62,8.88,13.42,13.08,18.0,25.58
MX-MEX,12.83,48.92,5.92,4.42,0.0,0.0,0.33,24.42,2.5,0.33,1.75,27.58,12.0,7.0,34.75,13.42,4.42,7.83,5.75,0.0,0.25,55.08,0.08,74.08,3.58,9.92,0.83,14.42,21.5,7.96,4.06,8.25,24.08,31.46
MX-TAB,8.17,4.17,3.92,0.42,0.0,0.0,0.0,17.58,1.0,0.0,0.0,13.08,8.5,3.42,15.33,9.17,1.33,1.42,4.83,0.0,0.0,14.42,0.0,3.5,0.0,4.83,0.0,9.45,3.84,5.08,4.17,5.58,11.08,7.92
MX-TAM,27.33,30.42,9.17,1.17,0.0,0.0,0.0,23.42,2.25,0.17,0.0,44.33,18.92,10.58,45.58,20.5,3.0,8.17,7.92,0.0,0.0,58.0,4.5,46.58,6.17,6.83,0.0,13.21,20.84,11.38,10.54,12.47,32.25,33.08
MX-TLA,1.42,0.08,0.83,0.0,0.0,0.0,0.0,20.17,2.33,0.0,0.0,0.92,7.08,2.83,1.25,11.92,3.17,5.17,3.92,0.0,0.0,21.75,0.0,0.92,0.0,10.33,0.0,11.67,0.5,7.12,1.12,4.61,4.17,13.46
MX-VER,26.5,34.5,12.5,1.75,0.0,0.0,0.5,15.83,1.0,0.0,0.25,38.0,14.83,6.33,48.42,9.92,1.58,6.17,7.42,0.0,0.0,35.5,0.0,46.25,2.08,5.17,12.0,8.7,16.72,5.46,13.19,9.53,30.53,20.84
MX-YUC,13.08,6.75,8.0,1.42,0.0,0.0,0.0,12.33,1.0,0.17,0.0,15.92,10.0,4.08,17.75,9.08,1.08,46.0,5.25,0.0,0.0,38.08,0.0,6.58,0.0,4.42,0.0,6.7,4.5,5.04,7.5,6.44,12.7,42.04
MX-ZAC,15.17,5.0,5.92,0.0,0.0,0.0,0.0,18.25,1.33,0.0,0.0,7.33,1.58,1.0,9.08,14.67,2.17,0.67,1.0,0.0,0.0,4.08,0.0,4.92,0.0,7.25,0.0,10.21,4.96,8.0,10.54,1.19,7.89,2.38
